true_label,predicted_label,count
cardboard,cardboard,60
glass,cardboard,0
metal,cardboard,0
paper,cardboard,2
plastic,cardboard,0
trash,cardboard,0
cardboard,glass,0
glass,glass,66
metal,glass,6
paper,glass,1
plastic,glass,7
trash,glass,1
cardboard,metal,0
glass,metal,3
metal,metal,53
paper,metal,2
plastic,metal,0
trash,metal,1
cardboard,paper,10
glass,paper,1
metal,paper,3
paper,paper,99
plastic,paper,1
trash,paper,1
cardboard,plastic,0
glass,plastic,12
metal,plastic,6
paper,plastic,2
plastic,plastic,66
trash,plastic,7
cardboard,trash,0
glass,trash,0
metal,trash,0
paper,trash,2
plastic,trash,0
trash,trash,19
